@@,name,position
---,Vladislav Kulminski,Deputy Prime Minister for Reintegration
---,Viorel Gherciu,Minister of Agriculture and Food Industry
---,Sergiu Prodan,Minister of Culture
---,Sergiu Litvinenco,Minister of Justice
---,Sergiu Gaibu,Minister of Economy
---,Nicu Popescu,Minister of Foreign Affairs and European Integration
---,Nicu Popescu,Deputy Prime Minister
---,Marcel Spătari,Minister of Labor and Social Protection
---,Iurie Țurcanu,Deputy Prime Minister for Digitization
---,Iuliana Cantaragiu,Minister of the Environment
---,Irina Vlah,Governor of UTA Gagauzia Gagauz-Yeri (Gagauz territorial unit)
---,Dumitru Budianschi,Minister of Finance
---,Andrei Spînu,Minister of Infrastructure and Regional Development
---,Andrei Spînu,Deputy Prime Minister
---,Anatolie Topala,Minister of Education and Research
---,Anatolie Nosatîi,Minister of Defence
---,Ana Revenco,Minister of Internal Affairs
---,Ala Nemerenco,Minister of Health
