ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q7029240,Nicolae Coval Cabinet,1945-04-19,11,,,1946-01-05,11,,,,,,,,,,
,Q6872991,Mircea Druc Cabinet,1990-05-25,11,,,1991-05-28,11,,,,,,,,,,
,Q12729743,Muravschi Cabinet,1991-05-28,11,,,1992-07-01,11,,,,,,,,,,
,Q12729673,1st Sangheli Cabinet,1992-07-01,11,,,1994-04-05,11,,,,,,,,,,
,Q12729675,2nd Sangheli Cabinet,1994-04-05,11,,,1997-01-24,11,,,,,,,,,,
,Q18539027,1st Ciubuc Cabinet,1997-01-24,11,,,1998-05-22,11,,,,,,,,,,
,Q12729709,2nd Ciubuc Cabinet,1998-05-22,11,,,1999-03-12,11,,,,,,,,,,
,Q12729718,Ion Sturza government,1999-03-12,11,,,1999-12-21,11,,,,,,,,,,
,Q12729692,Braghiș Cabinet,1999-12-21,11,,,2001-04-19,11,,,,,,,,,,
,Q12729746,First Tarlev Cabinet,2001-04-19,11,,,2005-04-19,11,,,,,,,,,,
,Q12729747,Second Tarlev Cabinet,2005-04-19,11,,,2008-03-31,11,,,,,,,,,,
,Q8072245,Zinaida Greceanîi Cabinet,2008-03-31,11,,,2009-06-10,11,,,,,,,,,,
,Q8072248,Zinaida Greceanîi Cabinet,2009-06-10,11,,,2009-09-25,11,,,,,,,,,,
,Q743490,First Filat Cabinet,2009-09-25,11,,,2011-01-14,11,,,,,Q822706,Second Filat Cabinet,,,,
,Q822706,Second Filat Cabinet,2011-01-14,11,,,2013-05-30,11,,,Q743490,First Filat Cabinet,Q13417074,Leancă Cabinet,,,,
,Q13417074,Leancă Cabinet,2013-05-30,11,,,2015-02-18,11,,,Q822706,Second Filat Cabinet,Q19334897,Gaburici Cabinet,,,,
,Q19334897,Gaburici Cabinet,2015-02-18,11,,,2015-07-30,11,,,Q13417074,Leancă Cabinet,Q20741632,Streleț Cabinet,,,,
,Q20741632,Streleț Cabinet,2015-07-30,11,,,2015-10-29,11,,,Q19334897,Gaburici Cabinet,Q22158861,Filip Cabinet,,,,
,Q22158861,Filip Cabinet,2016-01-20,11,,,2019-06-08,11,,,Q20741632,Streleț Cabinet,Q64496215,Sandu Cabinet,,,,
,Q64496215,Sandu Cabinet,2019-06-08,11,,,2019-11-14,11,,,Q22158861,Filip Cabinet,Q75161190,Chicu Cabinet,,,,
,Q75161190,Chicu Cabinet,2019-11-14,11,,,2021-08-06,11,,,Q64496215,Sandu Cabinet,Q107849269,Gavrilița Cabinet,,,,
,Q107849269,Gavrilița Cabinet,2021-08-06,11,,,,,,,Q75161190,Chicu Cabinet,,,Q75161190,Chicu Cabinet,,
